"subj","vign","condition","cause","knowledge","norm"
"R_2e9CF7ZPfDFASCc",5,"RKB",6,"Knowledge","Rationality"
"R_2TtsbgTKwKK9wIO",6,"RKB",4,"Knowledge","Rationality"
"R_3k4IYszsTCRQrgC",6,"RKB",4,"Knowledge","Rationality"
"R_VUMO4bHPJAdMI01",6,"RKB",7,"Knowledge","Rationality"
"R_8psRIDySszQHWjT",6,"RKB",5,"Knowledge","Rationality"
"R_plWR8uAeqvRwogh",6,"RKB",7,"Knowledge","Rationality"
"R_12RQRhgLfJM83Iu",6,"RKB",3,"Knowledge","Rationality"
"R_2ZUFDDiW6GBTnqt",6,"RKB",4,"Knowledge","Rationality"
"R_bIu9gF3RB8CTtXr",6,"RKB",4,"Knowledge","Rationality"
"R_1BXFBu0qAEwfd17",6,"RKB",2,"Knowledge","Rationality"
"R_2PBUVaRRO8QOpsZ",6,"RKB",3,"Knowledge","Rationality"
"R_2S6pPEn187Q5NtY",6,"RKB",5,"Knowledge","Rationality"
"R_8uCazDnCWc04MaR",6,"RKB",2,"Knowledge","Rationality"
"R_1Kp8ZVRR3w3y8ob",6,"RKB",5,"Knowledge","Rationality"
"R_1g1jxYRliuLSNIS",6,"RKB",3,"Knowledge","Rationality"
"R_3oT6ZoaUWgal8UH",6,"RKB",5,"Knowledge","Rationality"
"R_dgtQrUW08Tx0Y8N",6,"RKB",3,"Knowledge","Rationality"
"R_qPGNLL5ULlYc0Ip",6,"RKB",2,"Knowledge","Rationality"
"R_2WTOOT1lnF1XiXn",6,"RKB",5,"Knowledge","Rationality"
"R_3FLmunkf2Hht6TF",6,"RKB",4,"Knowledge","Rationality"
"R_3KNNILeE3ut0kNj",6,"RKB",6,"Knowledge","Rationality"
"R_3dJNWXdZg0boBR6",6,"RKB",2,"Knowledge","Rationality"
"R_3lrWn7KbZc6TkYf",6,"RKB",4,"Knowledge","Rationality"
"R_yWjT3ClYfKtwXHr",6,"RKB",6,"Knowledge","Rationality"
"R_8IWJsKE3wv6zjoZ",6,"RKB",4,"Knowledge","Rationality"
"R_1DLUYGKswrdb9cm",7,"RKB",6,"Knowledge","Rationality"
"R_1rAhrV5EwBM1LyZ",7,"RKB",7,"Knowledge","Rationality"
"R_8psRIDySszQHWjT",7,"RKB",7,"Knowledge","Rationality"
"R_2CQattCDouu6rte",7,"RKB",4,"Knowledge","Rationality"
"R_6DK6aYAhyK428E1",7,"RKB",7,"Knowledge","Rationality"
"R_8bT93YYUqf1B1Qt",7,"RKB",7,"Knowledge","Rationality"
"R_3MzjhB4l2CnyceM",7,"RKB",4,"Knowledge","Rationality"
"R_2ZUFDDiW6GBTnqt",7,"RKB",7,"Knowledge","Rationality"
"R_2PBUVaRRO8QOpsZ",7,"RKB",2,"Knowledge","Rationality"
"R_1176tIngeKbNXez",7,"RKB",6,"Knowledge","Rationality"
"R_1IvgwTwNrQyaHTf",7,"RKB",4,"Knowledge","Rationality"
"R_1g1jxYRliuLSNIS",7,"RKB",4,"Knowledge","Rationality"
"R_3Ebvsl7XtlhzQWB",7,"RKB",7,"Knowledge","Rationality"
"R_3n00tAc7D3Xq0nG",7,"RKB",6,"Knowledge","Rationality"
"R_qPGNLL5ULlYc0Ip",7,"RKB",6,"Knowledge","Rationality"
"R_2P6F8vn4Tutz9m2",7,"RKB",5,"Knowledge","Rationality"
"R_2v1A4xHLmEQoT2o",7,"RKB",6,"Knowledge","Rationality"
"R_1QuZ05DZ060dABH",7,"RKB",4,"Knowledge","Rationality"
"R_1OuTe9tItsdnSCB",7,"RKB",7,"Knowledge","Rationality"
"R_b1rH03pHa9MJNJv",7,"RKB",6,"Knowledge","Rationality"
"R_3KPhsWLJtp13y0X",7,"RKB",5,"Knowledge","Rationality"
"R_yWjT3ClYfKtwXHr",7,"RKB",5,"Knowledge","Rationality"
"R_8IWJsKE3wv6zjoZ",7,"RKB",6,"Knowledge","Rationality"
"R_31TNc4a4YON2a7J",8,"RKB",4,"Knowledge","Rationality"
"R_1IFTMKYY4Ar9h7X",8,"RKB",6,"Knowledge","Rationality"
"R_1DLUYGKswrdb9cm",8,"RKB",1,"Knowledge","Rationality"
"R_2TtsbgTKwKK9wIO",8,"RKB",1,"Knowledge","Rationality"
"R_3G6V3MGevsXnxQw",8,"RKB",4,"Knowledge","Rationality"
"R_1PYrsTeyCWH15u3",8,"RKB",2,"Knowledge","Rationality"
"R_3L1Q56xXaXVyMIC",8,"RKB",2,"Knowledge","Rationality"
"R_2ZUn4Z9qs9SrQRR",8,"RKB",5,"Knowledge","Rationality"
"R_1IvgwTwNrQyaHTf",8,"RKB",4,"Knowledge","Rationality"
"R_8uCazDnCWc04MaR",8,"RKB",1,"Knowledge","Rationality"
"R_3j7l9N6xmB4kZGa",8,"RKB",5,"Knowledge","Rationality"
"R_vxBGd6vfvtHapsl",8,"RKB",4,"Knowledge","Rationality"
"R_VR82NyjxABFst9f",8,"RKB",1,"Knowledge","Rationality"
"R_1KvGzRty5iYhjlc",8,"RKB",5,"Knowledge","Rationality"
"R_3n00tAc7D3Xq0nG",8,"RKB",3,"Knowledge","Rationality"
"R_3gY1SdxVLpmfmir",8,"RKB",2,"Knowledge","Rationality"
"R_2uKtRMa60xPV9Qd",8,"RKB",1,"Knowledge","Rationality"
"R_2v1A4xHLmEQoT2o",8,"RKB",1,"Knowledge","Rationality"
"R_1QuZ05DZ060dABH",8,"RKB",3,"Knowledge","Rationality"
"R_2R568m5pF77Dyh0",8,"RKB",1,"Knowledge","Rationality"
"R_3HHqwXpaYg7zjtc",8,"RKB",5,"Knowledge","Rationality"
"R_3KPhsWLJtp13y0X",8,"RKB",4,"Knowledge","Rationality"
"R_cIR19O6YM6BpoWd",8,"RKB",2,"Knowledge","Rationality"
"R_2e9CF7ZPfDFASCc",8,"RKB",2,"Knowledge","Rationality"
"R_1DLUYGKswrdb9cm",9,"RKB",7,"Knowledge","Rationality"
"R_25H4qxjzbWJocXI",9,"RKB",5,"Knowledge","Rationality"
"R_8psRIDySszQHWjT",9,"RKB",5,"Knowledge","Rationality"
"R_plWR8uAeqvRwogh",9,"RKB",7,"Knowledge","Rationality"
"R_1ovWWgYf1uliRGE",9,"RKB",2,"Knowledge","Rationality"
"R_3qlY7YuOtTmlnqw",9,"RKB",3,"Knowledge","Rationality"
"R_3hfQk0FdbI5ZquZ",9,"RKB",1,"Knowledge","Rationality"
"R_3kFVIOx0vSMCknB",9,"RKB",7,"Knowledge","Rationality"
"R_1IvgwTwNrQyaHTf",9,"RKB",7,"Knowledge","Rationality"
