"subj","distal","proximal","moral","time","vign","outcome","agent"
"R_6lq0trusyzEJ5zu","4","6","2","48.699","Russia","good","Object"
"R_a4tcsxwfgQ7Pr2A","2","6","4","33.859","Russia","good","Object"
"R_81AY4ylurAsbUGM","4","7","5","67.497","Russia","good","Object"
"R_3HFogtsyI1NbJHK","3","6","2","54.243","Russia","good","Object"
"R_0HVjvC22wunVUBC","5","6","5","48.746","Russia","good","Object"
"R_cMC7Xs0lOoArDbS","5","4","5","23.323","Russia","good","Object"
"R_eCL94urEfRUNM0c","5","5","4","22.284","Construction","good","Object"
"R_6likqztf71SP6wA","4","6","5","28.337","Construction","good","Object"
"R_0B1IL99PTx98ygc","5","4","5","21.936","Construction","good","Object"
"R_0rq45VOOa9iygde","7","7","7","52.221","Construction","good","Object"
"R_cNG59jl2KT0MHJO","7","3","7","40.204","Construction","good","Object"
"R_8eweEHcbGdHflFa","5","7","5","27.984","Construction","good","Object"
"R_9XHA4OP4AJeDRkM","4","5","5","41.502","Construction","good","Object"
"R_9tVNsPbevT6CdaQ","5","5","3","21.403","Construction","good","Object"
"R_ezdXbIs0xd2Bp7S","6","6","6","20.555","Construction","good","Object"
"R_6lq0trusyzEJ5zu","5","4","5","23.767","Construction","good","Object"
"R_a4tcsxwfgQ7Pr2A","2","2","4","208.233","Construction","good","Object"
"R_81AY4ylurAsbUGM","6","7","6","53.415","Construction","good","Object"
"R_3HFogtsyI1NbJHK","2","6","3","81.438","Construction","good","Object"
"R_0HVjvC22wunVUBC","6","6","6","46.338","Construction","good","Object"
"R_cMC7Xs0lOoArDbS","4","5","5","22.702","Construction","good","Object"
"R_7NDaAAngQRrIbt2","7","7","7","67.935","Farmer","bad","Knowledge"
"R_ewWN3lVUBmab0cQ","6","6","6","31.982","Farmer","bad","Knowledge"
"R_9vQ1kgheXBZp8LW","7","7","7","56.353","Farmer","bad","Knowledge"
"R_71G2aNXAkSNgQSM","7","7","7","34.955","Farmer","bad","Knowledge"
"R_1M8X95L9MdEgXti","6","5","5","35.318","Farmer","bad","Knowledge"
"R_bjiCslx8ncr64JK","7","7","7","32.951","Farmer","bad","Knowledge"
"R_cJbZ5LvPuX3l2ny","6","4","6","42.56","Farmer","bad","Knowledge"
"R_bj6eXNkdFWfJXc8","7","7","7","80.823","Farmer","bad","Knowledge"
"R_5Ay9XKzBy8OWD40","7","7","4","46.81","Farmer","bad","Knowledge"
"R_9TY5IhFghrwcnt2","7","7","6","39.75","Farmer","bad","Knowledge"
"R_6gpvHfNrmaLIddW","4","4","7","52.688","Farmer","bad","Knowledge"
"R_9nUolFZxbDVfJnC","7","7","7","25.335","Farmer","bad","Knowledge"
"R_50YW9iVI7LIvjc8","7","3","7","44.058","Farmer","bad","Knowledge"
"R_6yFoq83iFgSxKvi","6","6","6","58.86","Farmer","bad","Knowledge"
"R_8odA8FStg0OhPRG","7","7","7","341.797","Farmer","bad","Knowledge"
"R_879ef8wbjczw6R6","6","6","7","48.743","Farmer","bad","Knowledge"
"R_cTlyLy7BC00vdje","6","4","5","67.415","Farmer","bad","Knowledge"
"R_ac1GTf8pZ7BC0IY","7","7","7","43.687","Farmer","bad","Knowledge"
"R_1QRAsQFMaBLCIYc","7","7","7","45.258","Farmer","bad","Knowledge"
"R_7NDaAAngQRrIbt2","7","7","7","53.63","Russia","bad","Knowledge"
"R_ewWN3lVUBmab0cQ","6","6","6","36.497","Russia","bad","Knowledge"
"R_9vQ1kgheXBZp8LW","6","6","7","63.089","Russia","bad","Knowledge"
"R_71G2aNXAkSNgQSM","5","5","5","43.643","Russia","bad","Knowledge"
"R_1M8X95L9MdEgXti","5","5","5","51.433","Russia","bad","Knowledge"
"R_bjiCslx8ncr64JK","7","6","7","53.287","Russia","bad","Knowledge"
"R_cJbZ5LvPuX3l2ny","7","7","7","46.962","Russia","bad","Knowledge"
"R_bj6eXNkdFWfJXc8","7","7","7","61.512","Russia","bad","Knowledge"
"R_5Ay9XKzBy8OWD40","6","7","6","37.83","Russia","bad","Knowledge"
"R_9TY5IhFghrwcnt2","6","1","4","49.734","Russia","bad","Knowledge"
"R_6gpvHfNrmaLIddW","6","6","6","66.103","Russia","bad","Knowledge"
"R_9nUolFZxbDVfJnC","5","4","7","47.16","Russia","bad","Knowledge"
"R_50YW9iVI7LIvjc8","7","3","7","56.293","Russia","bad","Knowledge"
"R_6yFoq83iFgSxKvi","4","5","5","41.43","Russia","bad","Knowledge"
"R_8odA8FStg0OhPRG","7","7","7","158.756","Russia","bad","Knowledge"
"R_879ef8wbjczw6R6","6","6","6","43.136","Russia","bad","Knowledge"
"R_cTlyLy7BC00vdje","5","6","6","53.761","Russia","bad","Knowledge"
